pelo,plumas,huevos,leche,volador,acuatico,predador,dentadura,columna,respira,veneno,aletas,patas,cola,domestico,tamano,clase
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,pez
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mamifero
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,pez
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,pez
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,ave
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,pez
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,invertebrado
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,invertebrado
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrado
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,ave
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,pez
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mamifero
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,ave
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,ave
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,ave
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insecto
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,anfibio
0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,anfibio
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,mamifero
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insecto
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,mamifero
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,ave
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,pez
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mamifero
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,ave
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,pez
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insecto
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insecto
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,ave
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insecto
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,ave
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrado
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insecto
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,anfibio
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,invertebrado
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mamifero
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,ave
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,ave
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,ave
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,ave
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,pez
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,pez
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptil
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mamifero
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mamifero
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mamifero
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,ave
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,invertebrado
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,pez
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mamifero
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mamifero
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptil
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,invertebrado
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,ave
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,ave
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptil
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrado
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,pez
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,ave
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mamifero
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,invertebrado
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,pez
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,ave
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insecto
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,anfibio
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptil
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptil
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,pez
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mamifero
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mamifero
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,ave
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mamifero
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insecto
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mamifero
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,invertebrado
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,ave